Rank,Name,Guild,Faction,DPS,Size,Date,Duration,Head,Neck,Shoulder,Chest,Waist,Legs,Feet,Wrist,Hands,Ring1,Ring2,Trinket1,Trinket2,Back,Weapon1,Weapon2,Ranged,Raid,Phase,Class,Specialisation
67,Marsha,unnamed,Alliance,998,40,Jun-29,30:24:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Sash of Whispered Secrets (18809),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Ebony Flame Gloves (19407),Band of Forced Concentration (19403),Band of Dark Dominion (19434),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
68,옥분,여고생,Alliance,996.7,40,Jun-16,59:05:00,Nemesis Skullcap (16929),Choker of Enlightenment (17109),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Bloodcaller (19864),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
69,Shens,SQUAWK,Horde,995.9,40,Jun-12,40:25:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Nemesis Robes (16931),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Band of Servitude (22721),Rune Band of Wizardry (22339),Nat Pagle's Broken Reel (19947),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Wizard's Hand (15280),Blackwing Lair,4,Warlock,Destruction
70,Realslow,Balance 3,Alliance,995.4,40,Jun-21,01:02:15,Nemesis Skullcap (16929),Dark Advisor's Pendant (18691),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Briarwood Reed (12930),Talisman of Ephemeral Power (18820),Cloak of the Hakkari Worshippers (22711),Claw of Chromaggus (19347),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
71,분홍법사,Soeasy,Alliance,994.2,40,Jul-06,47:33:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
72,Atheistx,Live Lucky,Alliance,993.2,39,May-28,39:36:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Felcloth Gloves (18407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Wizard's Hand (15280),Blackwing Lair,4,Warlock,Destruction
73,Blackwarlock,Peace,Alliance,991.7,40,Jun-22,55:49:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
74,Hossenfelder,Dwarves drank Baikal,Alliance,990.2,39,May-17,29:47:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Star of Mystaria (12103),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Band of Forced Concentration (19403),Band of Dark Dominion (19434),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
75,Míso,NOC,Alliance,990.1,40,Jul-04,30:24:00,Nemesis Skullcap (16929),Kezan's Unstoppable Taint (19605),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Fel-Infused Leggings (19133),Bloodvine Boots (19684),Zandalar Demoniac's Wraps (19848),Bloodtinged Gloves (19929),Band of Dark Dominion (19434),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Claw of Chromaggus (19347),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
76,Stbees,Exilium,Horde,988,39,Jun-22,35:35:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Zanzil's Seal (19893),Ring of Spell Power (19147),Neltharion's Tear (19379),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
77,Zoey,Nevermind,Alliance,986.9,40,May-12,22:38,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Knight-Lieutenant's Dreadweave Handwraps (23282),Band of Servitude (22721),Band of Dark Dominion (19434),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Lethtendris' Wand (18301),Blackwing Lair,4,Warlock,Destruction
78,Zedres,N/A,Unknown,985.3,40,Jun-25,27:51:00,Lieutenant Commander's Dreadweave Cowl (23310),Dark Advisor's Pendant (18691),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Forced Concentration (19403),Band of Servitude (22721),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
79,Sharoda,NOC,Alliance,985.3,40,Jul-04,30:24:00,Nemesis Skullcap (16929),Soul Corrupter's Necklace (19876),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Band of Forced Concentration (19403),Band of Dark Dominion (19434),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
80,Warlorc,livid,Horde,984.7,39,Jun-01,32:00:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Eye of Orgrimmar (12545),Band of Dark Dominion (19434),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
81,Scaredpork,we like turtles,Alliance,983.7,39,May-24,27:21:00,Nemesis Skullcap (16929),Kezan's Unstoppable Taint (19605),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Zandalar Demoniac's Wraps (19848),Felcloth Gloves (18407),Band of Servitude (22721),Band of Dark Dominion (19434),Briarwood Reed (12930),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
82,Lch,N/A,Unknown,982.4,39,Jul-06,23:17,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Zanzil's Seal (19893),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Umbral Wand (5216),Blackwing Lair,4,Warlock,Destruction
83,Nichebald,Dicentra,Alliance,982.3,39,Jul-07,30:19:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Zanzil's Band (19905),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
84,Tuxedojoe,Entitled,Alliance,981.4,39,Jun-09,39:23:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Nemesis Spaulders (16932),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Ring of Blackrock (19397),Band of Servitude (22721),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
85,Hurokcsel,atrocious,Horde,981.3,40,Jul-02,24:36:00,Nemesis Skullcap (16929),Dark Advisor's Pendant (18691),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Blood Guard's Dreadweave Handwraps (22865),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of the Brood Lord (19378),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
86,뽀흑,Soeasy,Alliance,980.6,40,Jun-08,51:10:00,Nemesis Skullcap (16929),Jeklik's Opaline Talisman (19923),Nemesis Spaulders (16932),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Songstone of Ironforge (12543),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Nat Pagle's Broken Reel (19947),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
87,Fen,Hanterbart,Alliance,979.7,40,Jun-11,24:35:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Band of Servitude (22721),Band of Forced Concentration (19403),Neltharion's Tear (19379),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
88,얄딱꾸리,Rush,Alliance,979.1,40,May-29,43:28:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Sapphiron Drape (17078),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
89,Coffielock,Unbooned Goons,Alliance,978.8,38,Jun-23,33:04:00,Nemesis Skullcap (16929),Soul Corrupter's Necklace (19876),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Rune Band of Wizardry (22339),Band of Servitude (22721),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
90,Leyiapops,TERÄS,Alliance,977.5,39,Jun-29,29:41:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
91,礼拜天丶,N/A,Unknown,977.4,40,Jun-14,56:58:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Nemesis Leggings (16930),Nemesis Boots (16927),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
92,생석,서리3공,Alliance,977,40,Jun-09,56:45:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Marshal's Dreadweave Gloves (17584),Zanzil's Seal (19893),Zanzil's Band (19905),Briarwood Reed (12930),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Scepter of Interminable Focus (22329),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
93,Dadstuffer,LBCx,Alliance,976.5,40,Jun-25,27:19:00,Nemesis Skullcap (16929),Choker of Enlightenment (17109),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Seal (19893),Band of Dark Dominion (19434),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of the Brood Lord (19378),Staff of the Shadow Flame (19356),N/A,Dragon Finger (15282),Blackwing Lair,4,Warlock,Destruction
94,Nikekicks,WOODDEPARTMENT,Alliance,975.3,40,Jun-29,33:46:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
95,Bort,AU tysm,Horde,974.4,40,May-28,30:51:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Councillor's Cuffs (10096),Felcloth Gloves (18407),Band of Servitude (22721),Maiden's Circle (13001),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
96,Faluna,Rote Rakete,Alliance,970.7,38,Jun-24,24:57:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Ring of Spell Power (19147),Band of Dark Dominion (19434),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Sapphiron Drape (17078),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Ivory Wand (15279),Blackwing Lair,4,Warlock,Destruction
97,Tuxedojoe,Entitled,Alliance,970.2,40,May-19,42:13:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Sash of Whispered Secrets (18809),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Knight-Lieutenant's Dreadweave Handwraps (23282),Ring of Blackrock (19397),Songstone of Ironforge (12543),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of the Hakkari Worshippers (22711),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
98,Naengmyeon,N/A,Unknown,970.1,38,Jul-02,35:55:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
99,Nascence,Risen,Horde,968.6,40,Jun-27,41:21:00,Nemesis Skullcap (16929),Soul Corrupter's Necklace (19876),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Zanzil's Seal (19893),Band of Dark Dominion (19434),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
